rbs1k/P1g2/4p/1G3/K1SBR[] b;score:-100;eval:59;qs:59;outcome:0.0
rbs1k/P1g2/5/1G2p/K1SBR[] w;score:2115;eval:51;qs:327;outcome:1.0
rbs1k/Pg3/4p/1G3/K1SBR[] w;score:1636;eval:66;qs:1368;outcome:1.0
rbs1k/2g2/PG2p/5/K1SBR[] b;score:175;eval:-2;qs:-232;outcome:0.5
rbs1k/2g2/PG3/4p/K1SBR[] w;score:605;eval:-10;qs:276;outcome:1.0
rbs1k/1g3/PG2p/5/K1SBR[] w;score:287;eval:5;qs:275;outcome:1.0
rbs1k/1g2p/P4/1G3/K1SBR[] w;score:130;eval:20;qs:20;outcome:0.5
rbs1k/Pg2p/5/1G3/K1SBR[] b;score:-281;eval:28;qs:-214;outcome:0.0
rbs1k/Pg3/4p/1G3/K1SBR[] w;score:1636;eval:66;qs:1368;outcome:1.0
rbs1k/g3p/5/1G3/K1SBR[p] w;score:-236;eval:-203;qs:-203;outcome:0.0
rbs1k/1g2p/PG3/5/K1SBR[] b;score:-336;eval:-33;qs:-264;outcome:0.0
rbs1k/1g3/PG2p/5/K1SBR[] w;score:287;eval:5;qs:275;outcome:1.0
rbs1k/g3p/PG3/5/K1SBR[] w;score:1677;eval:-16;qs:845;outcome:1.0
rbs1k/2g1p/G4/P4/K1SBR[] b;score:-66;eval:5;qs:5;outcome:0.0
rbs1k/2g2/G3p/P4/K1SBR[] w;score:290;eval:43;qs:316;outcome:1.0
rbs1k/G1g2/4p/P4/K1SBR[] b;score:-548;eval:47;qs:-547;outcome:0.0
rbs1k/G1g2/5/P3p/K1SBR[] w;score:1650;eval:39;qs:325;outcome:1.0
rbs1k/Gg3/4p/P4/K1SBR[] w;score:1330;eval:54;qs:1115;outcome:1.0
rbs1k/1Gg2/4p/P4/K1SBR[] b;score:-624;eval:29;qs:-558;outcome:0.0
rbs1k/1Gg2/5/P3p/K1SBR[] w;score:1650;eval:21;qs:307;outcome:1.0
rbs1k/1g3/4p/P4/K1SBR[g] w;score:-594;eval:-829;qs:-556;outcome:0.0
rbs1k/1g2p/G4/P4/K1SBR[] w;score:16;eval:12;qs:12;outcome:0.5
rbs1k/Gg2p/5/P4/K1SBR[] b;score:-864;eval:16;qs:-845;outcome:0.0
rbs1k/Gg3/4p/P4/K1SBR[] w;score:1330;eval:54;qs:1115;outcome:1.0
rbs1k/g3p/5/P4/K1SBR[g] w;score:-857;eval:-840;qs:-840;outcome:0.0
rbs1k/1G2p/5/P4/K1SBR[G] b;score:39;eval:862;qs:2;outcome:0.5
rbs1k/1G3/4p/P4/K1SBR[G] w;score:987649;eval:900;qs:1979;outcome:1.0
rb2k/1s2p/5/P4/K1SBR[Gg] w;score:-11;eval:2;qs:2;outcome:0.5
rbsgk/4p/5/P1G2/K1SBR[] b;score:-54;eval:-48;qs:-48;outcome:0.5
rbsgk/5/4p/P1G2/K1SBR[] w;score:213;eval:-10;qs:263;outcome:1.0
rbsgk/5/P3p/2G2/K1SBR[] b;score:-240;eval:-48;qs:-321;outcome:0.0
