FEN,Eval
5/5/5/5/3+p[] w,-330
5/5/5/5/3+s[] w,-315
5/5/5/5/3+r[] w,-754
5/5/5/5/3+b[] w,-710
5/5/5/5/4P[] w,105
5/5/5/5/4G[] w,363
5/5/5/5/4S[] w,310
5/5/5/5/4R[] w,492
5/5/5/5/4B[] w,437
5/5/5/5/4K[] w,10006
5/5/5/5/4+P[] w,350
5/5/5/5/4+S[] w,335
5/5/5/5/4+R[] w,782
5/5/5/5/4+B[] w,731
5/5/5/5/4p[] w,-90
5/5/5/5/4g[] w,-343
5/5/5/5/4s[] w,-290
5/5/5/5/4r[] w,-476
5/5/5/5/4b[] w,-417
5/5/5/5/4k[] w,-9986
5/5/5/5/4+p[] w,-330
5/5/5/5/4+s[] w,-315
5/5/5/5/4+r[] w,-766
5/5/5/5/4+b[] w,-711
PP3/5/5/5/[] w,210
PG3/5/5/5/[] w,463
PS3/5/5/5/[] w,410
PR3/5/5/5/[] w,584
PB3/5/5/5/[] w,536
PK3/5/5/5/[] w,10110
P+P3/5/5/5/[] w,450
P+S3/5/5/5/[] w,435
P+R3/5/5/5/[] w,874
P+B3/5/5/5/[] w,830
Pp3/5/5/5/[] w,15
Pg3/5/5/5/[] w,-243
Ps3/5/5/5/[] w,-190
Pr3/5/5/5/[] w,-360
Pb3/5/5/5/[] w,-316
Pk3/5/5/5/[] w,-9890
P+p3/5/5/5/[] w,-230
P+s3/5/5/5/[] w,-215
P+r3/5/5/5/[] w,-650
P+b3/5/5/5/[] w,-610
GP3/5/5/5/[] w,463
GG3/5/5/5/[] w,716
GS3/5/5/5/[] w,663
GR3/5/5/5/[] w,837
GB3/5/5/5/[] w,789
GK3/5/5/5/[] w,10363
G+P3/5/5/5/[] w,703
G+S3/5/5/5/[] w,688
G+R3/5/5/5/[] w,1127
G+B3/5/5/5/[] w,1083
Gp3/5/5/5/[] w,268
Gg3/5/5/5/[] w,10
Gs3/5/5/5/[] w,63
Gr3/5/5/5/[] w,-107
Gb3/5/5/5/[] w,-63
Gk3/5/5/5/[] w,-9637
G+p3/5/5/5/[] w,23
G+s3/5/5/5/[] w,38
G+r3/5/5/5/[] w,-397
G+b3/5/5/5/[] w,-357
SP3/5/5/5/[] w,410
SG3/5/5/5/[] w,663
SS3/5/5/5/[] w,610
SR3/5/5/5/[] w,784
SB3/5/5/5/[] w,736
SK3/5/5/5/[] w,10310
S+P3/5/5/5/[] w,650
S+S3/5/5/5/[] w,635
S+R3/5/5/5/[] w,1074
S+B3/5/5/5/[] w,1030
Sp3/5/5/5/[] w,215
Sg3/5/5/5/[] w,-43
Ss3/5/5/5/[] w,10
Sr3/5/5/5/[] w,-160
Sb3/5/5/5/[] w,-116
Sk3/5/5/5/[] w,-9690
S+p3/5/5/5/[] w,-30
S+s3/5/5/5/[] w,-15
S+r3/5/5/5/[] w,-450
S+b3/5/5/5/[] w,-410
RP3/5/5/5/[] w,596
RG3/5/5/5/[] w,849
RS3/5/5/5/[] w,796
RR3/5/5/5/[] w,970
RB3/5/5/5/[] w,922
RK3/5/5/5/[] w,10496
R+P3/5/5/5/[] w,836
R+S3/5/5/5/[] w,821
R+R3/5/5/5/[] w,1260
R+B3/5/5/5/[] w,1216
Rp3/5/5/5/[] w,401
Rg3/5/5/5/[] w,143
Rs3/5/5/5/[] w,196
Rr3/5/5/5/[] w,26
Rb3/5/5/5/[] w,70
Rk3/5/5/5/[] w,-9504
R+p3/5/5/5/[] w,156
R+s3/5/5/5/[] w,171
R+r3/5/5/5/[] w,-264
R+b3/5/5/5/[] w,-224
BP3/5/5/5/[] w,537
BG3/5/5/5/[] w,790
BS3/5/5/5/[] w,737
BR3/5/5/5/[] w,911
BB3/5/5/5/[] w,863
BK3/5/5/5/[] w,10437
B+P3/5/5/5/[] w,777
B+S3/5/5/5/[] w,762
B+R3/5/5/5/[] w,1201
B+B3/5/5/5/[] w,1157
Bp3/5/5/5/[] w,342
Bg3/5/5/5/[] w,84
Bs3/5/5/5/[] w,137
Br3/5/5/5/[] w,-33
Bb3/5/5/5/[] w,11
Bk3/5/5/5/[] w,-9563
B+p3/5/5/5/[] w,97
B+s3/5/5/5/[] w,112
B+r3/5/5/5/[] w,-323
B+b3/5/5/5/[] w,-283
KP3/5/5/5/[] w,10106
KG3/5/5/5/[] w,10359
KS3/5/5/5/[] w,10306
KR3/5/5/5/[] w,10480
KB3/5/5/5/[] w,10432
KK3/5/5/5/[] w,20006
K+P3/5/5/5/[] w,10346
K+S3/5/5/5/[] w,10331
K+R3/5/5/5/[] w,10770
K+B3/5/5/5/[] w,10726
Kp3/5/5/5/[] w,9911
Kg3/5/5/5/[] w,9653
Ks3/5/5/5/[] w,9706
Kr3/5/5/5/[] w,9536
Kb3/5/5/5/[] w,9580
Kk3/5/5/5/[] w,6
K+p3/5/5/5/[] w,9666
K+s3/5/5/5/[] w,9681
K+r3/5/5/5/[] w,9246
K+b3/5/5/5/[] w,9286
+PP3/5/5/5/[] w,450
+PG3/5/5/5/[] w,703
+PS3/5/5/5/[] w,650
+PR3/5/5/5/[] w,824
+PB3/5/5/5/[] w,776
+PK3/5/5/5/[] w,10350
+P+P3/5/5/5/[] w,690
+P+S3/5/5/5/[] w,675
+P+R3/5/5/5/[] w,1114
+P+B3/5/5/5/[] w,1070
+Pp3/5/5/5/[] w,255
+Pg3/5/5/5/[] w,-3
+Ps3/5/5/5/[] w,50
+Pr3/5/5/5/[] w,-120
+Pb3/5/5/5/[] w,-76
+Pk3/5/5/5/[] w,-9650
+P+p3/5/5/5/[] w,10
+P+s3/5/5/5/[] w,25
+P+r3/5/5/5/[] w,-410
+P+b3/5/5/5/[] w,-370
+SP3/5/5/5/[] w,435
+SG3/5/5/5/[] w,688
+SS3/5/5/5/[] w,635
+SR3/5/5/5/[] w,809
+SB3/5/5/5/[] w,761
+SK3/5/5/5/[] w,10335
+S+P3/5/5/5/[] w,675
+S+S3/5/5/5/[] w,660
+S+R3/5/5/5/[] w,1099
+S+B3/5/5/5/[] w,1055
+Sp3/5/5/5/[] w,240
+Sg3/5/5/5/[] w,-18
+Ss3/5/5/5/[] w,35
+Sr3/5/5/5/[] w,-135
+Sb3/5/5/5/[] w,-91
+Sk3/5/5/5/[] w,-9665
+S+p3/5/5/5/[] w,-5
+S+s3/5/5/5/[] w,10
+S+r3/5/5/5/[] w,-425
+S+b3/5/5/5/[] w,-385
+RP3/5/5/5/[] w,886
+RG3/5/5/5/[] w,1139
+RS3/5/5/5/[] w,1086
+RR3/5/5/5/[] w,1260
+RB3/5/5/5/[] w,1212
+RK3/5/5/5/[] w,10786
+R+P3/5/5/5/[] w,1126
+R+S3/5/5/5/[] w,1111
+R+R3/5/5/5/[] w,1550
+R+B3/5/5/5/[] w,1506
+Rp3/5/5/5/[] w,691
+Rg3/5/5/5/[] w,433
+Rs3/5/5/5/[] w,486
+Rr3/5/5/5/[] w,316
+Rb3/5/5/5/[] w,360
+Rk3/5/5/5/[] w,-9214
+R+p3/5/5/5/[] w,446
+R+s3/5/5/5/[] w,461
+R+r3/5/5/5/[] w,26
+R+b3/5/5/5/[] w,66
+BP3/5/5/5/[] w,831
+BG3/5/5/5/[] w,1084
+BS3/5/5/5/[] w,1031
+BR3/5/5/5/[] w,1205
+BB3/5/5/5/[] w,1157
+BK3/5/5/5/[] w,10731
+B+P3/5/5/5/[] w,1071
+B+S3/5/5/5/[] w,1056
+B+R3/5/5/5/[] w,1495
+B+B3/5/5/5/[] w,1451
+Bp3/5/5/5/[] w,636
+Bg3/5/5/5/[] w,378
+Bs3/5/5/5/[] w,431
+Br3/5/5/5/[] w,261
+Bb3/5/5/5/[] w,305
+Bk3/5/5/5/[] w,-9269
+B+p3/5/5/5/[] w,391
+B+s3/5/5/5/[] w,406
+B+r3/5/5/5/[] w,-29
+B+b3/5/5/5/[] w,11
pP3/5/5/5/[] w,15
pG3/5/5/5/[] w,268
pS3/5/5/5/[] w,215
pR3/5/5/5/[] w,389
pB3/5/5/5/[] w,341
pK3/5/5/5/[] w,9915
p+P3/5/5/5/[] w,255
p+S3/5/5/5/[] w,240
p+R3/5/5/5/[] w,679
p+B3/5/5/5/[] w,635
pp3/5/5/5/[] w,-180
pg3/5/5/5/[] w,-438
ps3/5/5/5/[] w,-385
pr3/5/5/5/[] w,-555
pb3/5/5/5/[] w,-511
pk3/5/5/5/[] w,-10085
p+p3/5/5/5/[] w,-425
p+s3/5/5/5/[] w,-410
p+r3/5/5/5/[] w,-845
p+b3/5/5/5/[] w,-805
gP3/5/5/5/[] w,-243
gG3/5/5/5/[] w,10
gS3/5/5/5/[] w,-43
gR3/5/5/5/[] w,131
gB3/5/5/5/[] w,83
gK3/5/5/5/[] w,9657
g+P3/5/5/5/[] w,-3
g+S3/5/5/5/[] w,-18
g+R3/5/5/5/[] w,421
g+B3/5/5/5/[] w,377
gp3/5/5/5/[] w,-438
gg3/5/5/5/[] w,-696
gs3/5/5/5/[] w,-643
gr3/5/5/5/[] w,-813
gb3/5/5/5/[] w,-769
